	locus	lib	num_reads	num_bc	num_ss	frac_total_ss	mean_bc_per_ss	std_bc_per_ss	mean_reads_per_bc	std_reads_per_bc	frac_good_reads
0	smn1_9nt	lib2	11179072	573493	30971	0.945159912109375	18.517096638791127	14.59011800304921	19.36585799652306	17.681651314224485	0.9934799596961179
1	smn1_9nt	lib3	11291652	379604	30443	0.929046630859375	12.469336136386033	9.620245001974391	29.64193211873426	31.498130624478662	0.9965057371587435
2	smn1_9nt	lib1	5703239	324414	29949	0.913970947265625	10.832214765100671	8.46450148963097	17.24919701369238	21.005585769701838	0.9811759598361562
3	brca2_11nt	lib2	5617102	899899	404070	0.7707023620605469	2.227086890885243	1.3878315184292715	6.201168131090267	10.026809955576116	0.9934704764129261
4	brca2_11nt	lib3	9525501	1487716	474503	0.9050426483154297	3.135314212976525	1.9190100599990012	6.366016094469644	6.352910519445336	0.9942599344643395
5	brca2_11nt	lib1	6646190	1258448	444832	0.84844970703125	2.8290410761815696	1.8802596009695707	5.252138348187609	11.968549727873393	0.9944860137913601
6	brca2_9nt	lib1	18947801	944929	32764	0.9998779296875	28.84046514467098	7.948751377064715	19.84062400455484	16.960625576502174	0.9894541852112548
7	brca2_9nt	lib2	18230072	2236752	32764	0.9998779296875	68.26858747405689	14.99237913442186	8.096484545448043	6.00806965937795	0.9934040852937936
8	ikbkap_9nt	lib2	8518573	863637	32670	0.99700927734375	26.435169880624425	16.97465505556198	9.696174434397784	12.364545609146223	0.9830255607365225
9	ikbkap_9nt	lib1	10400543	1128396	32697	0.997833251953125	34.510689054041656	21.85961036416934	9.01885951385861	11.743954951080896	0.9784916999045146
